searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
820094	8	False	820094	0	0
500813	4	False	500813	1	1
5454	247	False	5454	0	0
водолазка	544	False	водолазка	19	19
гель маска	5	False	гель маска	0	0
5196	1558	False	5196	1	1
От отеков	1	False	От отеков	0	0
88598	20	False	88598	1	1
8970	385	False	8970	0	0
0859	210	False	0859	1	1
Подушки	29	False	Подушки	0	0
2178	342	False	2178	1	1
в свете сафитов	2	True	в свете софитов	0	0
элеганс	38	True	elegance	16	4
Жилет	146	False	Жилет	15	15
128w2410	25	False	128w2410	5	5
Уход за обувью	6	False	Уход за обувью	0	0
40069	87	False	40069	1	1
40291	214	False	40291	1	1
тушь для ресниц	88	False	тушь для ресниц	13	13
Гепалайт	64	False	Гепалайт	1	1
193418	54	False	193418	0	0
Alatau	132	False	Alatau	1	1
8481	2	False	8481	0	0
Антиналет	17	False	Антиналет	1	1
34123	280	False	34123	1	1
465028	6	False	465028	0	0
контейнер	59	False	контейнер	4	4
кэшбэк	39	False	кэшбэк	0	0
146W4106	18	False	146W4106	0	0
Пластыр	3	True	пластыри	0	0
44018	200	False	44018	1	1
641025	12	False	641025	0	0
890594	3	False	890594	1	1
чековая книжка	3	False	чековая книжка	0	0
482014	3	False	482014	1	1
41057	21	False	41057	0	0
1628	387	False	1628	1	1
st612	19	False	st612	1	1
8389	115	False	8389	0	0
1614	625	False	1614	0	0
193989	18	False	193989	0	0
191904	17	False	191904	0	0
кислородное сияние	47	False	кислородное сияние	6	6
84210	5	False	84210	1	1
BW251	21	False	BW251	1	1
0118	431	False	0118	1	1
0256	749	False	0256	1	1
увлажняющие носочки	2	False	увлажняющие носочки	0	0
11211	1089	False	11211	0	0
Карандаш	379	False	Карандаш	9	9
СПОРТИВНАЯ БУТЫЛКА	1	False	СПОРТИВНАЯ БУТЫЛКА	0	0
2158	229	False	2158	0	0
скачать	1	False	скачать	0	0
Маска для волос	103	False	Маска для волос	0	0
маска-детокс	16	False	маска-детокс	2	2
0239	354	False	0239	1	1
44051	262	False	44051	0	0
Туалетное мыло	23	False	Туалетное мыло	17	17
191826	7	False	191826	0	0
Салфетка	151	False	Салфетка	4	4
11873	637	False	11873	1	1
si100	1	False	si100	1	1
Для молока	5	False	Для молока	0	0
0889	9	False	0889	0	0
9576	457	False	9576	1	1
8626	429	False	8626	0	0
салфет	15	True	салфетки	19	19
9983	491	False	9983	0	0
7333	234	False	7333	1	1
Пенка для умывания	43	False	Пенка для умывания	0	0
краска	673	False	краска	7	7
43058	230	False	43058	1	1
твердый дезодорант	3	False	твердый дезодорант	0	0
Помада-стик The ONE	1	False	Помада-стик The ONE	0	0
127G2601	55	False	127G2601	1	1
16422229	1	False	16422229	0	0
11479	112	False	11479	1	1
Коррекция фигуры	3	False	Коррекция фигуры	0	0
59832	3	False	59832	1	1
3444	78	False	3444	1	1
191894	35	False	191894	1	1
83927	12	False	83927	0	0
0544	360	False	0544	0	0
Обувь женские	1	False	Обувь женские	0	0
чашки	6	False	чашки	0	0
6181	488	False	6181	1	1
хайлайтер	246	False	хайлайтер	0	0
0242	605	False	0242	1	1
1640	842	False	1640	1	1
шоколад и мята	1	False	шоколад и мята	0	0
0813	569	False	0813	1	1
11344	270	False	11344	0	0
2156	211	False	2156	0	0
11620	63	False	11620	0	0
тарелки	8	False	тарелки	0	0
набор мужской	15	False	набор мужской	0	0
192750	16	False	192750	1	1
Крем для лица	254	False	Крем для лица	17	17
8627	616	False	8627	0	0
влажные	31	False	влажные	18	18
4589	259	False	4589	1	1
11515	176	False	11515	1	1
1216	166	False	1216	1	1
2187	540	False	2187	0	0
40090	213	False	40090	1	1
Пробник	725	False	Пробник	18	18
Bonquet D'Amore	2	False	Bonquet D'Amore	0	0
8619	579	False	8619	0	0
158w3320	50	False	158w3320	1	1
3172	127	False	3172	1	1
11721	219	False	11721	0	0
Кисть	443	False	Кисть	12	12
7461	52	False	7461	0	0
484006	32	False	484006	1	1
2320	109	False	2320	5	5
8786	44	False	8786	1	1
пакет	896	False	пакет	19	19
1657	513	False	1657	0	0
алоэ	57	False	алоэ	14	14
157W2603	1	False	157W2603	0	0
2245	77	False	2245	0	0
127W2502	111	False	127W2502	0	0
146W2502	151	False	146W2502	1	1
каленжарь	1	False	каленжарь	0	0
784888	5	False	784888	0	0
Ивет	6	True	цвет	0	75
Ps151	4	False	Ps151	1	1
освежители воздуха	14	True	освежитель воздуха	0	8
6146	178	False	6146	1	1
8388	87	False	8388	1	1
3108	389	False	3108	1	1
543943	16	False	543943	0	0
sensuelle	61	False	sensuelle	6	6
9321	75	False	9321	1	1
15462	67	False	15462	0	0
под глазами	4	False	под глазами	1	1
Для маник	1	True	для маникюр	6	6
8399	322	False	8399	0	0
живица	178	False	живица	1	1
бальзам для волос	102	False	бальзам для волос	3	3
6140	139	False	6140	0	0
11313	44	False	11313	0	0
rfnfkju	26	True	каталог	0	0
платье 146w4111	6	False	платье 146w4111	0	0
193747	8	False	193747	1	1
5599	761	False	5599	0	0
Мицел	17	False	Мицел	5	5
213007	10	False	213007	0	0
117B3202	50	False	117B3202	2	2
для волос	121	False	для волос	12	12
Face tonic	1	False	Face tonic	0	0
Caprise	3	True	caprice	0	4
44104	48	False	44104	0	0
0642	35	False	0642	0	0
2424	140	False	2424	0	0
tn002	22	False	tn002	1	1
0882	456	False	0882	1	1
Перчатки	519	False	Перчатки	18	18
8830	64	False	8830	0	0
3169	193	False	3169	1	1
5403	10	False	5403	0	0
Васмой эламет	1	False	Васмой эламет	0	0
11027	5	False	11027	0	0
128-29-22	1	False	128-29-22	0	0
5695	75	False	5695	0	0
1821	212	False	1821	0	0
5562	300	False	5562	1	1
194999	7	False	194999	0	0
3037	241	False	3037	2	2
11332	796	False	11332	1	1
3248	460	False	3248	0	0
бритва	200	False	бритва	0	0
консилер	140	False	консилер	1	1
Очки	67	False	Очки	19	19
11158	1238	False	11158	0	0
890812	1	False	890812	1	1
средство для пробив	4	True	средство для против	0	0
нюд	9	False	нюд	11	11
1642	649	False	1642	1	1
TPW004	5	False	TPW004	0	0
Пакет	435	False	Пакет	19	19
11285	928	False	11285	0	0
Расслабляющий	6	False	Расслабляющий	0	0
дом	16	False	дом	11	11
40173	202	False	40173	1	1
Мастоп	14	False	Мастоп	0	0
2125	359	False	2125	1	1
40086	142	False	40086	1	1
14800	2	False	14800	0	0
Мужские наборы	5	False	Мужские наборы	0	0
5475	19	False	5475	0	0
Отсрочка платежа	2	False	Отсрочка платежа	0	0
Салфетки	753	False	Салфетки	19	19
флакон	126	False	флакон	0	0
9628	191	False	9628	0	0
Тушь	759	False	Тушь	17	17
50005	19	False	50005	1	1
0260	769	False	0260	1	1
5083	14	False	5083	0	0
0880	622	False	0880	0	0
0933	1231	False	0933	0	0
2372	425	False	2372	0	0
освежитель воздуха	162	False	освежитель воздуха	8	8
43068	82	False	43068	1	1
beauty cafe	72	False	beauty cafe	19	19
11370	106	False	11370	0	0
печатные продукции	1	False	печатные продукции	0	0
Пудратональный крем	1	False	Пудратональный крем	0	0
Расчёска	34	False	Расчёска	0	0
11643	141	False	11643	0	0
80827	5	False	80827	1	1
62841	2	False	62841	0	0
0237	460	False	0237	1	1
по срокам годности	10	False	по срокам годности	0	0
85558	1	False	85558	0	0
SD137	19	False	SD137	1	1
маска для валос	4	True	маска для волос	0	0
11139	86	False	11139	0	0
3500	152	False	3500	1	1
5327	1294	False	5327	1	1
195582	17	False	195582	0	0
Пар. Вода Кокетка	1	False	Пар. Вода Кокетка	0	0
Де рантенол	1	False	Де рантенол	0	0
1081	435	False	1081	0	0
8396	188	False	8396	0	0
Фотобанк	11	False	Фотобанк	0	0
3600	479	False	3600	0	0
Диффузор	75	False	Диффузор	1	1
зеркало	176	False	зеркало	2	2
маркетинг план	46	False	маркетинг план	0	0
Для стирки	44	False	Для стирки	6	6
Favourite	4	False	Favourite	0	0
8738	386	False	8738	0	0
2363	247	False	2363	0	0
кондиционер	459	False	кондиционер	17	17
8391	959	False	8391	1	1
патчи	237	False	патчи	0	0
0779	189	False	0779	1	1
сбербанк	1	False	сбербанк	0	0
3119	774	False	3119	1	1
416715	4	False	416715	1	1
Шапка	207	False	Шапка	18	18
3202	509	False	3202	19	19
спрей	424	False	спрей	18	18
88084	19	False	88084	1	1
двоинои эффект	3	True	двойной эффект	0	1
60223	3	False	60223	1	1
21138	1	False	21138	0	0
Карандаш для губ	100	False	Карандаш для губ	9	9
3488	10	False	3488	1	1
для ног	101	False	для ног	11	11
168W4106	24	False	168W4106	0	0
3602	402	False	3602	1	1
Паетками	2	True	пайетками	0	15
Капсула KRASA	2	False	Капсула KRASA	1	1
7563	163	False	7563	1	1
1036	501	False	1036	0	0
для зубных щеток	1	False	для зубных щеток	0	0
Сертификат	9	False	Сертификат	0	0
11502	92	False	11502	0	0
11573	119	False	11573	0	0
156w4111	378	False	156w4111	0	0
3012	397	False	3012	0	0
43036	205	False	43036	1	1
гель для душа	740	False	гель для душа	19	19
11440	117	False	11440	0	0
8307	99	False	8307	1	1
гель для лица	7	False	гель для лица	0	0
Апликатор	8	True	аппликатор	0	1
3473	52	False	3473	1	1
0789	274	False	0789	0	0
Дива	75	False	Дива	14	14
3210	275	False	3210	9	9
Освежитель воздуха	164	False	Освежитель воздуха	8	8
718	1	False	718	11	11
18025	102	False	18025	0	0
8617	636	False	8617	0	0
пакет майка	9	False	пакет майка	0	0
6380	6	False	6380	0	0
44102	246	False	44102	1	1
7518	128	False	7518	0	0
192073	17	False	192073	1	1
1247	1	False	1247	0	0
2155	201	False	2155	0	0
1665	326	False	1665	1	1
0932	999	False	0932	1	1
0560	1501	False	0560	0	0
0762	654	False	0762	0	0
3462	117	False	3462	1	1
ликвидация	88	False	ликвидация	0	0
Орхидея	5	False	Орхидея	5	5
2215	268	False	2215	1	1
духи	93	False	духи	0	0
146G2502	7	False	146G2502	1	1
44109	410	False	44109	1	1
бюстгалтер для корм	1	False	бюстгалтер для корм	0	0
Календарь 2019	3	False	Календарь 2019	0	0
3023	66	False	3023	0	0
Корзина	38	False	Корзина	0	0
SW083	6	False	SW083	0	0
9730	26	False	9730	1	1
70910	56	False	70910	1	1
футболка	227	False	футболка	19	19
толстовка	135	False	толстовка	19	19
43075	131	False	43075	0	0
0114	498	False	0114	1	1
11106	262	False	11106	1	1
117M2301	54	False	117M2301	6	6
41030	121	False	41030	1	1
0253	753	False	0253	1	1
Помада для губ	7	False	Помада для губ	15	15
гранат	14	False	гранат	9	9
158W2503	25	False	158W2503	1	1
7293	66	False	7293	1	1
3097	181	False	3097	0	0
191861	72	False	191861	0	0
8271	96	False	8271	1	1
коэнзим	18	False	коэнзим	1	1
5473	115	False	5473	1	1
шиповник	9	False	шиповник	5	5
краска краса	10	True	краска краска	0	0
1867	1082	False	1867	0	0
claudi	2	False	claudi	2	2
2146	291	False	2146	0	0
890768	1	False	890768	1	1
81945	7	False	81945	1	1
86032	2	False	86032	0	0
0930	902	False	0930	1	1
1198	336	False	1198	1	1
Термолегинцы	2	False	Термолегинцы	0	0
доброген	114	False	доброген	1	1
8744	308	False	8744	0	0
1677	105	False	1677	0	0
флюид	49	False	флюид	2	2
Reneta	2	False	Reneta	0	0
7452	107	False	7452	0	0
Стартовая программа	205	False	Стартовая программа	0	0
83639	15	False	83639	1	1
dsb003	2	False	dsb003	1	1
WSS04	17	False	WSS04	0	0
8709	169	False	8709	0	0
890031	2	False	890031	1	1
триммер	377	False	триммер	0	0
Cs002	1	False	Cs002	1	1
126w4103	108	False	126w4103	0	0
8y48	1	False	8y48	0	0
2371	530	False	2371	1	1
3032	261	False	3032	2	2
флоранж	73	False	флоранж	0	0
Мистер для тела	6	False	Мистер для тела	0	0
0747	320	False	0747	0	0
8167	129	False	8167	0	0
880018	1	False	880018	0	0
маска	925	False	маска	18	18
3199	182	False	3199	0	0
джемпер	99	False	джемпер	19	19
192139	5	False	192139	0	0
1687	6	False	1687	0	0
2205	112	False	2205	0	0
PH372	12	False	PH372	1	1
Куртки	70	False	Куртки	0	0
7316	139	False	7316	0	0
40294	273	False	40294	1	1
34108	31	False	34108	1	1
Aqua smart	7	False	Aqua smart	1	1
botanica	134	False	botanica	19	19
Для бровей	232	False	Для бровей	5	5
ST121	88	False	ST121	0	0
520313	2	False	520313	1	1
0800	529	False	0800	1	1
zima	1218	False	zima	5	5
donna	60	False	donna	6	6
9304	70	False	9304	1	1
11560	408	False	11560	1	1
ph153	20	False	ph153	1	1
salon	27	False	salon	18	18
137W1201	28	False	137W1201	0	0
айковская диана	2	False	айковская диана	0	0
8644	649	False	8644	0	0
0775	378	False	0775	0	0
таблетки	175	False	таблетки	0	0
88015	37	False	88015	0	0
Металическое мыло	16	True	металлическое мыло	0	0
0319	1180	False	0319	1	1
От прыщей	13	False	От прыщей	0	0
0831	450	False	0831	0	0
0710	413	False	0710	1	1
456626	12	False	456626	1	1
501185	21	False	501185	1	1
8725	400	False	8725	1	1
11249	1320	False	11249	1	1
0730	564	False	0730	1	1
3181	399	False	3181	1	1
3249	223	False	3249	1	1
Botanica	127	False	Botanica	19	19
41047	19	False	41047	0	0
192928	5	False	192928	0	0
8119	116	False	8119	1	1
3049	430	False	3049	1	1
BB крем	19	False	BB крем	14	14
195416	40	False	195416	1	1
3029	218	False	3029	0	0
бритвы	70	False	бритвы	1	1
3011	226	False	3011	1	1
192348	15	False	192348	1	1
039W3110	11	False	039W3110	1	1
Дезодорант	387	False	Дезодорант	19	19
pont	71	False	pont	2	2
овощерезка	86	False	овощерезка	0	0
Антистатик	107	False	Антистатик	1	1
Манго	38	True	mango	11	1
9007	167	False	9007	1	1
гель для интимных	3	False	гель для интимных	0	0
12882905	4	False	12882905	0	0
192397	13	False	192397	1	1
2053	19	False	2053	0	0
8260	341	False	8260	1	1
трикотажное платье	22	False	трикотажное платье	18	18
5373	4	False	5373	0	0
2151	148	False	2151	0	0
beautycafe	41	False	beautycafe	4	4
6195	36	False	6195	0	0
192062	25	False	192062	1	1
1822	551	False	1822	0	0
антинакипь	6	False	антинакипь	0	0
подвеска	78	False	подвеска	4	4
7491	191	False	7491	0	0
кислородный баланс	13	False	кислородный баланс	4	4
600084	79	False	600084	0	0
мой страктуру	4	False	мой страктуру	0	0
884669	9	False	884669	1	1
Кондиц	11	False	Кондиц	18	18
Платье мультицвет	2	False	Платье мультицвет	0	0
157W3501	79	False	157W3501	1	1
9820	686	False	9820	0	0
2236 2289	1	False	2236 2289	0	0
11574	49	False	11574	0	0
166w4115	581	False	166w4115	1	1
Полотенца	48	False	Полотенца	0	0
830076	3	False	830076	1	1
adobe	2	False	adobe	0	0
Щетка	241	False	Щетка	12	12
оттеночный шампунь	113	False	оттеночный шампунь	0	0
44053	215	False	44053	1	1
яблоко	15	False	яблоко	2	2
Дэнас	176	False	Дэнас	10	10
78024	66	False	78024	0	0
2449	239	False	2449	1	1
вода	50	False	вода	19	19
Блеск для губ	101	False	Блеск для губ	6	6
2381	174	False	2381	0	0
крем малавтилин	18	False	крем малавтилин	0	0
набор verbena	1	False	набор verbena	2	2
501044	18	False	501044	1	1
юстгальтер	2	True	бюстгальтер	20	17
танкин	2	True	танкини	2	4
Гликол	1	False	Гликол	0	0
серьги	300	False	серьги	18	18
195375	11	False	195375	1	1
3033	225	False	3033	1	1
9918	269	False	9918	0	0
Флоранж	132	False	Флоранж	0	0
11264	440	False	11264	1	1
8783	40	False	8783	0	0
8253	117	False	8253	1	1
6247	133	False	6247	1	1
1033	296	False	1033	1	1
11514	432	False	11514	1	1
127G2302	18	False	127G2302	1	1
45007	14	False	45007	1	1
ковров	26	False	ковров	0	0
5461	132	False	5461	0	0
ТРИММЕР	12	False	ТРИММЕР	0	0
пробник помады	74	False	пробник помады	0	0
8654	357	False	8654	0	0
43121	19	False	43121	0	0
40093	231	False	40093	1	1
volcano	29	False	volcano	2	2
Блузка	311	False	Блузка	19	19
8966	294	False	8966	0	0
11621	141	False	11621	0	0
127W2301	135	False	127W2301	1	1
прокладка	4	False	прокладка	0	0
0329	85	False	0329	0	0
порош	9	True	порошок	15	13
детские влажные	2	False	детские влажные	3	3
195637	23	False	195637	0	0
158w2320	38	False	158w2320	1	1
касметичка	1	True	косметичка	0	7
термобелье	255	False	термобелье	6	6
11266	629	False	11266	1	1
192341	4	False	192341	1	1
7417	28	False	7417	1	1
81671	6	False	81671	0	0
0887	248	False	0887	0	0
мицелярная вода	120	False	мицелярная вода	1	1
Ultra	46	False	Ultra	14	14
5575	874	False	5575	0	0
15395	240	False	15395	0	0
192850	25	False	192850	1	1
0549	436	False	0549	1	1
1668	279	False	1668	1	1
коллоген	3	False	коллоген	0	0
пена	238	False	пена	18	18
календарь	440	False	календарь	4	4
193938	9	False	193938	1	1
40130	82	False	40130	1	1
8624	133	False	8624	0	0
158Ц3220	2	False	158Ц3220	0	0
терамо бельё	1	False	терамо бельё	0	0
4146	6	False	4146	0	0
2751	2	False	2751	0	0
Краска	673	False	Краска	7	7
1683	203	False	1683	0	0
ГЕЛЬ ДЛЯ ДУША	28	False	ГЕЛЬ ДЛЯ ДУША	19	19
1679	244	False	1679	1	1
8680	319	False	8680	1	1
1049	570	False	1049	1	1
5331	32	False	5331	0	0
40133	502	False	40133	1	1
4083	5	False	4083	0	0
1836	898	False	1836	0	0
501128	5	False	501128	1	1
Печатная продукция	3	False	Печатная продукция	0	0
TN001	88	False	TN001	1	1
Футляры	1	False	Футляры	0	0
акции одежда	4	False	акции одежда	0	0
193000	34	False	193000	0	0
арганы	1	False	арганы	1	1
Вербена	43	False	Вербена	0	0
8344	137	False	8344	1	1
84178	3	False	84178	1	1
11269	426	False	11269	1	1
194005	16	False	194005	1	1
Каталог 3	41	False	Каталог 3	0	0
Лакоста	3	False	Лакоста	0	0
3221	186	False	3221	1	1
urban	26	False	urban	3	3
1696	805	False	1696	0	0
0879	618	False	0879	1	1
117M2902	54	False	117M2902	4	4
8785	56	False	8785	0	0
8318	313	False	8318	1	1
8380	2	False	8380	0	0
891007	3	False	891007	1	1
1059	300	False	1059	1	1
11330	615	False	11330	1	1
5698	263	False	5698	0	0
Ramyata	45	False	Ramyata	1	1
396113	6	False	396113	1	1
4351	5	False	4351	0	0
5484	33	False	5484	0	0
Печатные продукции	1	False	Печатные продукции	0	0
44108	440	False	44108	1	1
Подводка	307	False	Подводка	3	3
11282	259	False	11282	1	1
3D	5	False	3D	11	11
40032	372	False	40032	1	1
8847871	2	False	8847871	0	0
Каталог 2	52	False	Каталог 2	0	0
40063	91	False	40063	1	1
2185	70	False	2185	0	0
Пена	121	False	Пена	18	18
0261	312	False	0261	1	1
vent d'aventures	12	False	vent d'aventures	7	7
крем для дица	2	True	крем для лица	0	17
3019	580	False	3019	1	1
зубные пасты	8	False	зубные пасты	0	0
Спрей	267	False	Спрей	18	18
0222	515	False	0222	1	1
84260	14	False	84260	0	0
8640	713	False	8640	0	0
5332	16	False	5332	0	0
Aromania	257	False	Aromania	18	18
11287	327	False	11287	0	0
41036	106	False	41036	1	1
5431	397	False	5431	0	0
1046	26	False	1046	0	0
Floriss	2	False	Floriss	0	0
2243	179	False	2243	0	0
чай	206	False	чай	11	11
6226	160	False	6226	0	0
15339	144	False	15339	0	0
салфетка	169	False	салфетка	4	4
skyline	22	False	skyline	7	7
гель для бровей	235	False	гель для бровей	0	0
3608	429	False	3608	1	1
st414	76	False	st414	1	1
4572	144	False	4572	1	1
1234	9	False	1234	1	1
2177	199	False	2177	0	0
44021	75	False	44021	1	1
600345	18	False	600345	0	0
Футболка	230	False	Футболка	19	19
3491	441	False	3491	0	0
Ph372	1	False	Ph372	1	1
56984	3	False	56984	0	0
3175	60	False	3175	1	1
шарф снут	2	False	шарф снут	0	0
сумки	156	False	сумки	0	0
карал	2	True	коралл	0	20
краска для волос эк	4	True	краска для волос к	6	6
рената	241	False	рената	2	2
500066	38	False	500066	0	0
reyna	4	False	reyna	3	3
Шампунь от перхоти	31	False	Шампунь от перхоти	0	0
1169	27	False	1169	0	0
парео	40	False	парео	3	3
192395	26	False	192395	0	0
3041	245	False	3041	0	0
0500	544	False	0500	0	0
0270	378	False	0270	1	1
40172	104	False	40172	1	1
356011	9	False	356011	1	1
ампул	10	False	ампул	7	7
11276	374	False	11276	1	1
стартовая программа	406	False	стартовая программа	0	0
Бюстгальтер	146	False	Бюстгальтер	17	17
111993	2	False	111993	0	0
40171	725	False	40171	1	1
3142	94	False	3142	0	0
ликвидация прошлых	17	False	ликвидация прошлых	0	0
40038	79	False	40038	1	1
4584	248	False	4584	1	1
190997	3	False	190997	1	1
двойное действие	1	False	двойное действие	0	0
88895	5	False	88895	1	1
1653	164	False	1653	1	1
11551	141	False	11551	0	0
тональный крем	499	False	тональный крем	8	8
44076	571	False	44076	0	0
11450	204	False	11450	0	0
11248	43	False	11248	0	0
lorelina	8	False	lorelina	3	3
Beauty Box	16	False	Beauty Box	9	9
8638	540	False	8638	1	1
0257	453	False	0257	1	1
0287	362	False	0287	0	0
pc261	10	False	pc261	1	1
8961	194	False	8961	0	0
8246	103	False	8246	0	0
st602	33	False	st602	1	1
3247	224	False	3247	0	0
0559	334	False	0559	0	0
4094	5	False	4094	0	0
три-ролл гель от от	1	False	три-ролл гель от от	0	0
0272	525	False	0272	1	1
156W4111	259	False	156W4111	0	0
5450	91	False	5450	1	1
463673	39	False	463673	0	0
SAW012	6	False	SAW012	0	0
447201	2	False	447201	1	1
ополаскиватель	112	False	ополаскиватель	5	5
aora	43	False	aora	1	1
мешок	23	False	мешок	2	2
11260	960	False	11260	1	1
83701	26	False	83701	0	0
3192	30	False	3192	0	0
8215	267	False	8215	0	0
6115	193	False	6115	1	1
6227	64	False	6227	0	0
40099	135	False	40099	1	1
ликвидация 2019	1	False	ликвидация 2019	0	0
радуга на венере	5	False	радуга на венере	0	0
601437	29	False	601437	1	1
884586	5	False	884586	1	1
500491	3	False	500491	0	0
3702	139	False	3702	0	0
0888	520	False	0888	1	1
8964	202	False	8964	0	0
3496	147	False	3496	1	1
40066	126	False	40066	1	1
Фуфайка	22	False	Фуфайка	19	19
11159	24	False	11159	0	0
11516	275	False	11516	1	1
9537	47	False	9537	0	0
сковородка	25	False	сковородка	0	0
Омега	91	True	omega	1	0
3225	230	False	3225	2	2
Водолазка женская	58	False	Водолазка женская	19	19
194808	18	False	194808	1	1
82841	3	False	82841	0	0
500333	17	False	500333	0	0
завит	1	False	завит	1	1
жакет	54	False	жакет	11	11
469834	7	False	469834	0	0
34106	30	False	34106	0	0
печенька	1	False	печенька	0	0
3219	132	False	3219	1	1
126W2903	188	False	126W2903	1	1
francette	7	False	francette	3	3
2355	331	False	2355	0	0
7077	319	False	7077	0	0
Распродажа	497	False	Распродажа	1	1
колготки 40	12	False	колготки 40	18	18
11590	19	False	11590	1	1
15919	123	False	15919	0	0
0858	274	False	0858	0	0
Маска для лица	274	False	Маска для лица	19	19
ГЕЛ ДЛЯ ДУША	1	True	гель для душа	18	19
8967	351	False	8967	1	1
ORANGERIE	96	False	ORANGERIE	18	18
40053	240	False	40053	1	1
3036	415	False	3036	2	2
Для волос	86	False	Для волос	12	12
77446	13	False	77446	0	0
78422	172	False	78422	0	0
SW099	24	False	SW099	1	1
890489	10	False	890489	1	1
8648	766	False	8648	0	0
8558	532	False	8558	0	0
158G4101	10	False	158G4101	1	1
Ollin Performance	1	False	Ollin Performance	0	0
0283	4	False	0283	0	0
0525	547	False	0525	0	0
0271	460	False	0271	1	1
157G1203	8	False	157G1203	0	0
feelfresh	20	False	feelfresh	0	0
11713	711	False	11713	0	0
платье леопардовое	1	False	платье леопардовое	0	0
11359	103	False	11359	1	1
8550	124	False	8550	0	0
11354	462	False	11354	0	0
194398	5	False	194398	1	1
192048	49	False	192048	1	1
8 element	167	False	8 element	12	12
0277	290	False	0277	1	1
крем для чистки мет	8	False	крем для чистки мет	0	0
Легинсы	242	True	леггинсы	19	8
3180	89	False	3180	1	1
gkz;yjt gkfnmt	2	True	пляжное платье	0	4
8279	56	False	8279	1	1
пятновыводитель	620	False	пятновыводитель	3	3
11393	155	False	11393	0	0
5693	156	False	5693	0	0
195655	18	False	195655	0	0
бутсы	1	False	бутсы	0	0
1644	319	False	1644	1	1
8272	142	False	8272	1	1
7393	191	False	7393	0	0
очищение пор	2	False	очищение пор	2	2
4263	3	False	4263	0	0
Пижама	61	False	Пижама	0	0
каталоги	52	False	каталоги	0	0
84157	12	False	84157	1	1
4741	184	False	4741	0	0
157w2605	25	False	157w2605	1	1
8592	22	False	8592	0	0
3483	76	False	3483	1	1
Sensuelle	38	False	Sensuelle	6	6
192729	20	False	192729	1	1
футляр	11	False	футляр	0	0
5227	440	False	5227	1	1
192779	31	False	192779	1	1
Жидкое мыло	508	False	Жидкое мыло	14	14
890087	9	False	890087	0	0
st609	48	False	st609	1	1
3603	100	False	3603	0	0
157	9	False	157	11	11
0243	35	False	0243	0	0
Проруки	2	True	продукт	0	0
4611	111	False	4611	1	1
2384	354	False	2384	0	0
9392	7	False	9392	0	0
3152	14	False	3152	0	0
от натоптышей	2	False	от натоптышей	0	0
4587	562	False	4587	1	1
890636	1	False	890636	1	1
серия этно	3	False	серия этно	0	0
колготки детские	143	False	колготки детские	17	17
la creme	46	False	la creme	18	18
600169	68	False	600169	0	0
Тональный крем	297	False	Тональный крем	8	8
туфли версаль	6	False	туфли версаль	0	0
incognito	190	False	incognito	14	14
11277	356	False	11277	1	1
3183	77	False	3183	1	1
юбка	329	False	юбка	19	19
6301	561	False	6301	0	0
3224	132	False	3224	1	1
2446	174	False	2446	1	1
2180	516	False	2180	1	1
румяна	289	False	румяна	1	1
кухонный нож	13	False	кухонный нож	0	0
157W3333	74	False	157W3333	1	1
3506	237	False	3506	1	1
88029	22	False	88029	0	0
40162	15	False	40162	1	1
ps262	8	False	ps262	1	1
Насадка	4	False	Насадка	1	1
перчатки сенсорные	13	False	перчатки сенсорные	1	1
158g4102 размер 158	1	False	158g4102 размер 158	0	0
щеточка для лица	11	False	щеточка для лица	0	0
6224	214	False	6224	0	0
0275	216	False	0275	1	1
6245	390	False	6245	1	1
8365	261	False	8365	0	0
6180	354	False	6180	1	1
136W2502	111	False	136W2502	0	0
мист для тела	56	False	мист для тела	5	5
6234	214	False	6234	1	1
15383	122	False	15383	0	0
15921	84	False	15921	0	0
939	1	False	939	11	11
0543	275	False	0543	1	1
191868	58	False	191868	1	1
8347	328	False	8347	0	0
Декоративная	1	False	Декоративная	10	10
6225	253	False	6225	0	0
Понсо	1	True	пончо	0	3
коррекция бровей	1	False	коррекция бровей	0	0
заказ	23	False	заказ	0	0
пинцеты	1	False	пинцеты	0	0
спортивный стюм	1	True	спортивный костюм	0	0
1828	38	False	1828	0	0
кислород	52	False	кислород	18	18
0812	180	False	0812	1	1
botaica	3	True	botanica	0	19
Маска уплот	3	False	Маска уплот	2	2
колготки телпые	1	True	колготки белые	0	0
43110	11	False	43110	0	0
8973	544	False	8973	1	1
194774	28	False	194774	1	1
364500	6	False	364500	0	0
st610	38	False	st610	1	1
8948	120	False	8948	0	0
8350	225	False	8350	1	1
40078	216	False	40078	1	1
521200	8	False	521200	1	1
Мыло для рук	108	False	Мыло для рук	19	19
скрабы	12	False	скрабы	0	0
BP 231	1	True	из 231	11	11
8.1	21	False	8.1	11	11
Кроссовки	407	False	Кроссовки	19	19
9261	659	False	9261	1	1
Sd137	1	False	Sd137	1	1
11381	10	False	11381	0	0
83280	4	False	83280	1	1
1917816	1	False	1917816	0	0
изумруд	10	False	изумруд	19	19
8662	419	False	8662	0	0
11433	284	False	11433	1	1
Прбник	2	True	пробник	0	18
777725	38	False	777725	0	0
8988: 8733	1	False	8988: 8733	0	0
мелки 5106	1	False	мелки 5106	0	0
88974	12	False	88974	0	0
тапки	131	True	тапочки	7	6
